,DesignId,PRL,PRW,Stretch,FRJ,FRP,FRL,MC type
320,D00068,100.0,220.0,2.2,1620,430.0,130.0,JQ
321,D00068,116.0,200.0,0.9,1200,340.0,340.0,JQ
322,D00068,118.0,192.0,0.95,1200,325.0,325.0,JQ
323,D00068,113.0,192.0,0.7,1160,360.0,170.0,JQ
324,D00068,125.0,200.0,0.95,1230,310.0,310.0,JQ
325,D00068,115.0,198.0,1.0,1250,290.0,290.0,JQ
326,D00068,116.0,195.0,0.9,1280,280.0,280.0,JQ
327,D00068,116.0,195.0,1.2,1300,280.0,280.0,JQ
328,D00068,110.0,195.0,1.2,1330,356.7,155.0,JQ
329,D00068,110.0,198.0,1.2,1330,356.7,155.0,JQ
330,D00068,118.0,195.0,0.75,1160,360.0,180.0,JQ
331,D00068,123.0,198.0,0.8,1170,350.0,180.0,JQ
332,D00068,115.0,195.0,0.7,1185,345.0,170.0,JQ
333,D00068,118.0,195.0,0.8,1210,345.0,180.0,JQ
334,D00068,118.0,190.0,0.7,1220,345.0,180.0,JQ
335,D00068,118.0,195.0,0.6,1185,345.0,180.0,JQ
336,D00068,120.0,192.0,0.8,1200,340.0,180.0,JQ
337,D00069,58.0,36.0,0.6,1190,430.0,230.0,JQ
338,D00069,56.0,35.0,0.6,1180,390.0,190.0,JQ
339,D00069,51.0,37.0,0.7,1170,380.0,170.0,JQ
340,D00069,52.0,38.0,0.6,1170,380.0,180.0,JQ
341,D00069,55.0,38.0,0.7,1170,380.0,190.0,JQ
342,D00071,80.0,25.0,0.55,1285,330.0,270.0,JQ
343,D00071,80.0,26.0,0.6,1320,355.0,270.0,JQ
344,D00071,85.0,25.0,0.6,1325,355.0,260.0,JQ
345,D00071,80.0,25.0,0.7,1325,355.0,260.0,JQ
346,D00071,80.0,25.0,0.6,1285,330.0,260.0,JQ
347,D00071,80.0,25.0,0.6,1285,330.0,255.0,JQ
348,D00071,82.0,25.0,0.6,1285,330.0,260.0,JQ
349,D00071,80.0,25.0,0.6,1285,330.0,255.0,JQ
350,D00071,80.0,25.0,0.6,1285,330.0,225.0,JQ
351,D00071,80.0,25.0,0.6,1325,355.0,260.0,JQ
352,D00071,80.0,25.0,0.6,1285,330.0,255.0,JQ
353,D00071,80.0,30.0,0.6,1220,370.0,185.0,JQ
354,D00071,80.0,25.0,0.6,1285,330.0,225.0,JQ
355,D00071,80.0,25.0,0.6,1340,360.0,255.0,JQ
356,D00071,100.6,154.2,0.6,1325,360.0,250.0,JQ
357,D00071,70.0,23.0,0.6,1325,355.0,260.0,JQ
358,D00071,80.0,36.0,0.55,1295,355.0,270.0,JQ
359,D00071,95.0,30.0,0.6,1295,355.0,270.0,JQ
360,D00071,85.0,26.0,0.7,1285,330.0,270.0,JQ
361,D00071,80.0,25.0,0.55,1285,330.0,270.0,JQ
362,D00071,80.0,25.0,0.65,1285,330.0,260.0,JQ
363,D00071,80.0,25.0,0.55,1285,356.7,270.0,JQ
364,D00071,80.0,30.0,0.6,1235,370.0,200.0,JQ
365,D00071,80.0,25.0,0.55,1285,356.7,270.0,JQ
366,D00071,70.0,26.0,0.65,1290,360.0,220.0,JQ
367,D00071,80.0,25.0,0.65,1320,360.0,250.0,JQ
368,D00071,80.0,25.0,0.7,1340,360.0,265.0,JQ
369,D00071,80.0,26.0,0.7,1340,360.0,255.0,JQ
370,D00071,85.0,26.0,0.65,1325,355.0,260.0,JQ
371,D00071,80.0,26.0,0.7,1340,360.0,255.0,JQ
372,D00072,127.0,220.0,0.65,1030,430.0,170.0,JQ
373,D00072,131.0,220.0,0.7,1030,430.0,175.0,JQ
374,D00072,131.0,220.0,0.7,1030,425.0,175.0,JQ
375,D00072,131.0,220.0,0.7,1030,425.0,175.0,JQ
376,D00072,130.0,220.0,0.7,1030,425.0,175.0,JQ
377,D00072,135.0,220.0,0.7,1030,425.0,175.0,JQ
378,D00072,140.0,220.0,0.7,1020,415.0,175.0,JQ
379,D00072,130.0,220.0,0.65,1020,400.0,175.0,JQ
380,D00072,130.0,215.0,0.65,1020,480.0,175.0,JQ
381,D00073,115.0,205.0,0.6,1150,350.0,160.0,JQ
382,D00073,125.0,210.0,0.6,1200,340.0,184.0,JQ
383,D00073,120.0,210.0,0.6,1200,340.0,160.0,JQ
384,D00073,115.0,200.0,0.6,1230,340.0,160.0,JQ
